timestamp,cpu_usage,memory_usage
2024-02-01 23:44:15,10,165432
2024-02-01 23:44:20,12,167890
2024-02-01 23:44:25,15,170123
2024-02-01 23:44:30,13,168500
2024-02-01 23:44:35,18,172345
2024-02-01 23:44:40,20,175000
2024-02-01 23:44:45,17,173200
2024-02-01 23:44:50,22,178900
2024-02-01 23:44:55,19,176500
2024-02-01 23:45:00,25,180456
2024-02-01 23:45:05,30,185678
2024-02-01 23:45:10,27,182900
2024-02-01 23:45:15,35,190123
2024-02-01 23:45:20,32,188500
2024-02-01 23:45:25,38,195234
2024-02-01 23:45:30,40,198567
2024-02-01 23:45:35,42,200123
2024-02-01 23:45:40,39,198000
2024-02-01 23:45:45,37,196456
2024-02-01 23:45:50,45,205678
2024-02-01 23:45:55,50,210345
2024-02-01 23:46:00,48,208900
2024-02-01 23:46:05,52,215678
2024-02-01 23:46:10,55,218123
2024-02-01 23:46:15,51,214900
2024-02-01 23:46:20,58,223456
2024-02-01 23:46:25,65,230890
2024-02-01 23:46:30,62,228765
2024-02-01 23:46:35,70,240000
2024-02-01 23:46:40,75,245678
2024-02-01 23:46:45,72,243100
2024-02-01 23:46:50,68,238567
2024-02-01 23:46:55,64,233890
2024-02-01 23:47:00,60,230456
2024-02-01 23:47:05,55,225678
2024-02-01 23:47:10,50,220123
2024-02-01 23:47:15,45,215000
2024-02-01 23:47:20,40,210567
2024-02-01 23:47:25,35,205678
2024-02-01 23:47:30,30,200123
2024-02-01 23:47:35,25,195678
2024-02-01 23:47:40,20,190123
2024-02-01 23:47:45,15,185678
2024-02-01 23:47:50,10,180123
2024-02-01 23:47:55,12,182345
2024-02-01 23:48:00,18,187890
2024-02-01 23:48:05,22,193456
2024-02-01 23:48:10,19,190800
2024-02-01 23:48:15,25,198000
2024-02-01 23:48:20,28,202345
2024-02-01 23:48:25,35,210678
2024-02-01 23:48:30,40,218900
2024-02-01 23:48:35,45,225678
2024-02-01 23:48:40,50,230123
2024-02-01 23:48:45,55,238567
2024-02-01 23:48:50,60,245890
2024-02-01 23:48:55,58,243456
2024-02-01 23:49:00,62,248900
2024-02-01 23:49:05,68,255678
2024-02-01 23:49:10,72,260123
2024-02-01 23:49:15,78,268900
2024-02-01 23:49:20,80,270456
2024-02-01 23:49:25,85,275678
2024-02-01 23:49:30,88,278900
2024-02-01 23:49:35,90,280123
2024-02-01 23:49:40,85,275678
2024-02-01 23:49:45,80,270890
2024-02-01 23:49:50,75,265678
2024-02-01 23:49:55,70,260123
2024-02-01 23:50:00,65,255678
2024-02-01 23:50:05,60,250345
2024-02-01 23:50:10,55,245678
2024-02-01 23:50:15,50,240123
2024-02-01 23:50:20,45,235678
2024-02-01 23:50:25,40,230123
2024-02-01 23:50:30,35,225678
2024-02-01 23:50:35,30,220123
2024-02-01 23:50:40,25,215678
2024-02-01 23:50:45,20,210123
2024-02-01 23:50:50,15,205678
2024-02-01 23:50:55,10,200123
2024-02-01 23:51:00,12,202345
2024-02-01 23:51:05,15,205678
2024-02-01 23:51:10,18,208900
2024-02-01 23:51:15,22,213456
2024-02-01 23:51:20,25,218000
2024-02-01 23:51:25,28,222345
2024-02-01 23:51:30,35,230678
2024-02-01 23:51:35,40,238900
2024-02-01 23:51:40,45,245678
2024-02-01 23:51:45,50,250123
2024-02-01 23:51:50,55,258567
2024-02-01 23:51:55,60,265890
2024-02-01 23:52:00,62,268900
2024-02-01 23:52:05,65,273456
2024-02-01 23:52:10,68,278900
2024-02-01 23:52:15,70,280123
